TOKEN		OUTPUT			CORRECT
fugla			fugla (0)			fughl
æter			æter (0)			äta
geddo			geddo (0)			gädda
attæ			attæ (0)			atta
fiska			fiska (0)			fisker
sudna			sudna (0)			siuþa
sextæn			sextæn (0)			siäxtan
stektæ			stektæ (0)			stekia
giordæ			giordæ (0)			göra
j			j (0)			i
piper			pipa (0.5)			pipar
siden			siden (0)			siþan
æter			æter (0)			äta
fiska			fiska (0)			fisker
æn			æn (0)			än
sinnum			sinnum (0)			sin
fiska			fiska (0)			fisker
flæsk			flæsk (0)			fläsk
ætæ			ætæ (0)			äta
thy at			thy at (0)			þy at
thet			tea (1)			þän
ær			ær (0)			vara
fyræføt			fyræføt (0)			fyrafötter
læter			læter (0)			lata
wellæ			wellæ (0)			välla
thet			tea (1)			þän
j			j (0)			i
pannu			pannu (0)			panna
ther til			ther til (0)			þär til
ær			ær (0)			vara
wr			wr (0)			ur
thy			thydha (0.5)			þän
siden			siden (0)			siþan
læter			læter (0)			lata
thet			tea (1)			þän
j			j (0)			i
en			än (0.666667)			en
disk			disk (0)			disker
tæfkar			tæfkar (0)			þäfka
siden			siden (0)			siþan
sæter			sæter (0)			sätia
thet			tea (1)			þän
a			af (0.666667)			a
mun			mon (0.5)			munder
super			super (0)			supa+af
hwan			hwan (0)			hvar
supa			supa (0)			supi
fyræ thy			fyræ thy (0)			for þy*
thet			tea (1)			þän
war			var (0.666667)			vara
goth			goth (0)			goþer
feth			feth (0)			feter
spadh			spa (1)			spadh
aldrik			aldrik (0)			aldrigh
abote			abote (0)			abbote
kaku			kaku (0)			kaka
ætæ			ætæ (0)			äta
fore thy at			fore thy at (0)			for þy at*
hon			han (1)			hon
tæffløs			tæffløs (0)			thäflös
tha			þo (0.666667)			þa
rætes			rætes (0)			rätta+in
abotan			abotan (0)			abbote
tha			þo (0.666667)			þa
æter			æter (0)			äta
abote			abote (0)			abbote
fæm			fæm (0)			fäm
stekt			stekt (0)			stekia
fæm			fæm (0)			fäm
sudhin			sudhin (0)			siuþa
fæm			fæm (0)			fäm
giord			giord (0)			göra
j			j (0)			i
gryto			gryto (0)			gryta
fæm			fæm (0)			fäm
j			j (0)			i
panno			panno (0)			panna
fæm			fæm (0)			fäm
sudin			sudin (0)			siuþa
j			j (0)			i
kale			kalder (1)			kal
fæm			fæm (0)			fäm
kolhuppad			kolhuppad (0)			kolhuppadher
siden			siden (0)			siþan
æter			æter (0)			äta
abote			abote (0)			abbote
wtan widh			wtan widh (0)			utan viþer
fæm			fæm (0)			fäm
fæm			fæm (0)			fäm
sinnom			sinnom (0)			sin
fæm			fæm (0)			fäm
for budhit			for budhit (0)			forbiuþa
ær			ær (0)			vara
mere			mär (1)			mere
at			ägha (0.5)			at
ætæ			ætæ (0)			äta
loffuat			loffuat (0)			lova
ær			ær (0)			vara
at			ägha (0.5)			at
tha			þo (0.666667)			þa
bærs			bærs (0)			bära+in
stora			stora (0)			stor
nistor			nistor (0)			nista
abota			abota (0)			abbote
tha			þo (0.666667)			þa
taker			taker (0)			taka
abota			abota (0)			abbote
sæter			sæter (0)			sätia
adhra			adhra (0)			annar
a			af (0.666667)			a
hand			han (1)			hand
andra			andra (0)			annar
a			af (0.666667)			a
høgre			høgre (0)			höghre
tha			þo (0.666667)			þa
taker			taker (0)			taka
badha			baþe (0.5)			baþir
nistunar			nistunar (0)			nista
wt super			wt super (0)			utsupa
lithit			lithit (0)			litil
ser			ser (0)			sea
gætz			gætz (0)			gätas+at
tha			þo (0.666667)			þa
siger			siger (0)			sighia
abote			abote (0)			abbote
nistu			nistu (0)			nista
a			af (0.666667)			a
vinstræ			vinstræ (0)			vinstre
hand			han (1)			hand
ær			ær (0)			vara
thy at			thy at (0)			þy at
ær			ær (0)			vara
onth			onth (0)			onder
øll			øll (0)			öl
j			j (0)			i
hæffuin			hæffuin (0)			häfia+ut
wt			wt (0)			ut
tha			þo (0.666667)			þän
bansatta			bansatta (0)			bansätia
nistuna			nistuna (0)			nista
æn			æn (0)			än
hina			hina (0)			hin
adhra			adhra (0)			annar
a			af (0.666667)			a
høgro			høgro (0)			höghre
hand			han (1)			hand
sigher			sigha (0.333333)			sighia
abote			abote (0)			abbote
thy at			thy at (0)			þy at
ær			ær (0)			vara
j			j (0)			i
mylskæ			mylskæ (0)			mylska
eller			elder (1)			älla
goth			goth (0)			goþer
humbla øll			humbla øll (0)			humbla öl
min			iak (0.5)			min
kære			kære (0)			kär
gudzsøff			gudzsøff (0)			gudhsiver
griper			griper (0)			ok
hona			han (1)			hon
j			j (0)			i
drikker			drykker (1)			drikka
en			än (0.666667)			en
starkan			starkan (0)			starker
mula dryk			mula dryk (0)			mula dryker
siden			siden (0)			siþan
drykker			drykker (0)			drikka
abote			abote (0)			abbote
at			ägha (0.5)			at
gud			gud (0)			guþ
frælssi			frælssi (0)			frälsa
hona			han (1)			hon
annat			annat (0)			annar
sinne			sin (0.6)			sinne
drikker			drykker (1)			drikka
abote			abote (0)			abbote
ar			vara (1)			ar
at			ägha (0.5)			at
gudh			gudh (0)			guþ
giffui			giffui (0)			giva
goth			goth (0)			goþer
ar			vara (1)			ar
bondom			bondom (0)			bonde
tridhiæ			tridhiæ (0)			þriþi
drikker			drykker (1)			drikka
abote			abote (0)			abbote
synder			sunder (0.5)			synd
glømsko			glømsko (0)			glömska
brødra			brødra (0)			broþir
fiærde			fiærde (0)			fiärþe
sinne			sin (0.6)			sinne
drikker			drykker (1)			drikka
abote			abote (0)			abbote
staplin			staplin (0)			stapul
j			j (0)			i
babilone			babilone (0)			Babylon
at			ägha (0.5)			at
falle			falle (0)			falla
eygh			eygh (0)			eigh
fæmpte			fæmpte (0)			fämte
sinne			sin (0.6)			sinne
drikker			drykker (1)			drikka
abote			abote (0)			abbote
stora			stora (0)			stor
klokkona			klokkona (0)			klokka
j			j (0)			i
lund			lund (0)			Lund
at			ägha (0.5)			at
hon			han (1)			hon
brytes			brytes (0)			bryta
drikker			drykker (1)			drikka
abote			abote (0)			abbote
siw			siw (0)			siu
sinnom			sinnom (0)			sin
siwtigi			siwtigi (0)			siutighi
siden			siden (0)			siþan
abote			abote (0)			abbote
borde			borde (0)			borþ
siger			siger (0)			sighia
miserere mei deus			miserere mei deus (0)			Miserere mei deus
thakker			thakker (0)			þakka
gudhi			gudhi (0)			guþ
at			ägha (0.5)			at
ær			ær (0)			vara
wæl			wæl (0)			väl
mætter			mætter (0)			mätter
wæl			wæl (0)			väl
drukken			drukken (0)			drikka
siden			siden (0)			siþan
haffuer			haffuer (0)			hava
lesit			lesit (0)			läsa
tiider			tiider (0)			tiþ
siner			siner (0)			sin
tha			þo (0.666667)			þa
gøræ			gøræ (0)			göra
sik			sighia (0.5)			sik
alskona			alskona (0)			alzkona
at			ägha (0.5)			at
warder			warder (0)			varþa
trangbrystader			trangbrystader (0)			thrangbrystadher
ther j			ther j (0)			þär i
win			win (0)			vin
piper			pipa (0.5)			pipar
ingefæræ			ingefæræ (0)			ingefära
thry			thry (0)			þrir
gøræ			gøræ (0)			göra
hæten			hæten (0)			heter
at			ägha (0.5)			at
swetten			swetten (0)			svete
rindher			rindher (0)			rinna
hare			hare (0)			har
æn			æn (0)			än
samma			halla (1)			samber
gar			gar (1)			ganga
wr			wr (0)			ur
abota			abota (0)			abbote
halsse			halsse (0)			hals
swemar			swemar (0)			svema
ænne			ænne (0)			änne
alt			alt (0)			alder
within			within (0)			vita
thet			tea (1)			þän
at			ägha (0.5)			at
wræker			wræker (0)			vräka
alt			alt (0)			alder
har			hava (0.5)			har
abota			abota (0)			abbote
thæs			thæs (0)			þän
saker			saker (0)			sak
æræ			æræ (0)			vara
allæ			allæ (0)			alder
abota			abota (0)			abbote
flinskallutte			flinskallutte (0)			flintskalloter
lyktæs			lyktæs (0)			lykta
byriarz			byriarz (0)			byria
væsgöta			væsgöta (0)			västgöte
krister			krister (0)			Kristus
ær			ær (0)			vara
fyrst			fyrst (0)			fyr
laghum			laghum (0)			lagh
þa			þiggia (0.5)			þa
ær			ær (0)			vara
cristna			kristin (1)			kristna
var			iak (0.333333)			var
allir			allir (0)			alder
cristnir			cristnir (0)			kristin
konongær			konongær (0)			konunger
böndær			böndær (0)			bonde
allir			allir (0)			alder
bocarlær			bocarlær (0)			bokarl
biscupær			biscupær (0)			biskoper
allir			allir (0)			alder
boclærðir			boclærðir (0)			boklärþer
mæn			mæn (0)			maþer
varþær			varþær (0)			varþa
kirkiu			kirkiu (0)			kirkia
boret			boret (0)			bära
beþiz			beþiz (0)			beþas
cristnu			cristnu (0)			kristna
þa			þiggia (0.5)			þa
ok			uk (1)			ok
moðer			moðer (0)			moþir
fa			far (1)			fa
guðfæþur			guðfæþur (0)			guþfaþir
guðmoþor			guðmoþor (0)			guþmoþir
salt			sander (1)			salt
uatn			uatn (0)			vatn
þæt			þæt (0)			þän
bæræ			bæræ (0)			bära
kirkiu			kirkiu (0)			kirkia
þa			þiggia (0.5)			þa
a			af (0.666667)			a
prést			prést (0)			präster
kallæ			kallæ (0)			kalla
a			af (0.666667)			a
kirkiu bole			kirkiu bole (0)			kirkio bol
boæ			boæ (0)			boa
brymsignæ			brymsignæ (0)			brimsigna
firi utan			firi utan (0)			for utan
kirkiu. dyr			kirkiu. dyr (0)			kirkio dyr
siþen			siþen (0)			siþan
font			font (0)			fonter
wigyæ			wigyæ (0)			vighia
döpæ			döpæ (0)			döpa
gudfaþir			gudfaþir (0)			guþfaþir
a haldæ			a haldæ (0)			ahalda*
gudmoþer			gudmoþer (0)			guþmoþir
namns			namns (0)			namn
sygiæ			sygiæ (0)			sighia
byuþe			byuþe (0)			biuþa
husu			husu (0)			huru
lengi			lengi (0)			länge
vardvetæ			vardvetæ (0)			varþveta
hændir			hændir (0)			hända
þæt			þæt (0)			þän
a			af (0.666667)			a
vegh			vegh (0)			vägher
coma			coma (0)			koma
þa			þiggia (0.5)			þa
gudfaþir			gudfaþir (0)			guþfaþir
döpæ			döpæ (0)			döpa
gudmoþer			gudmoþer (0)			guþmoþir
a haldæ			a haldæ (0)			ahalda*
æn			æn (0)			än
uatn			uatn (0)			vatn
ær			ær (0)			vara+til
suner			suner (0)			son
andæs			andæs (0)			ande
hælagha			hælagha (0)			helagher
þa			þiggia (0.5)			þa
þét			þét (0)			þän
j			j (0)			i
kyrkiu. gard			kyrkiu. gard (0)			kirkio garþer
gravæ			gravæ (0)			grava
arf			arf (0)			DUMMY*
æn			æn (0)			än
gengyærd			gengyærd (0)			gengärþ
þerra			þerra (0)			þän
brinder			brinder (0)			brinna+up
vp			vp (0)			up
byscupi			byscupi (0)			biskoper
gengyærd			gengyærd (0)			gengärþ
geræ			geræ (0)			göra
twar			twar (0)			tver
næter			næter (0)			nat
quels			quels (0)			qvälder
hins			hins (0)			hin
þridia			þridia (0)			þriþi
mannum			mannum (0)			maþer
sialuer			sialuer (0)			siälver
þrættandi			þrættandi (0)			þrättande
drikki			drikki (0)			drikka
myod			myod (0)			mioþer
allir			allir (0)			alder
klerkar			klerkar (0)			klärker
uerder			uerder (0)			varþa
dræpin			dræpin (0)			dräpa
þet			þet (0)			þän
ær			ær (0)			vara
niþings værk			niþings værk (0)			niþingsvärk
þa			þiggia (0.5)			þa
vuighz			vuighz (0)			ovigþer
þet			þet (0)			þän
firi			firi (0)			for
tiu			tiu (0)			tio
þa			þiggia (0.5)			þa
gyuæ			gyuæ (0)			giva
byscupe			byscupe (0)			biskoper
þrer			þrer (0)			þrir
firir			firir (0)			for
natter			natter (0)			nat
a			af (0.666667)			a
tiu			tiu (0)			tio
vittrum			vittrum (0)			vinter
at			ägha (0.5)			at
þer			þär (0.75)			þän
hovodtiundaþo			hovodtiundaþo (0)			hovuþtionda
uilia			uilia (0)			vilia
vighiæ			vighiæ (0)			vighia
letæ			letæ (0)			lata
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
houodtiundæ			houodtiundæ (0)			hovuþtionda
houodtiundæ			houodtiundæ (0)			hovuþtionde
gæræ			gæræ (0)			göra
mer			mär (1)			mer
enu			enu (0)			en
sinni			sinni (0)			sin
vten			vten (0)			utan
þer			þär (0.75)			þän
eller			elder (1)			älla
at			ägha (0.5)			at
þer			þär (0.75)			þän
falli			falli (0)			falla
houod syndir			houod syndir (0)			hovuþsynd
værþer			værþer (0)			varþa
altæræ sten			altæræ sten (0)			altara sten
þa			þiggia (0.5)			þa
byscup			byscup (0)			biskoper
uid væræ			uid væræ (0)			viþervara
eller			elder (1)			älla
hetta			hätta (1)			hätta+viþer
uid			uid (0)			viþ
þrim			þrim (0)			þrir
marcum			marcum (0)			mark
þa			þiggia (0.5)			þa
giuæ			giuæ (0)			giva
byscupi			byscupi (0)			biskoper
þrer			þrer (0)			þrir
firi			firi (0)			for
altæræ vixls			altæræ vixls (0)			altara vighsl
natter			natter (0)			nat
gengerð			gengerð (0)			gengärþ
firi			firi (0)			for
kyrkiu gærð			kyrkiu gærð (0)			kirkio garþer
allen			allen (0)			alder
þrer			þrer (0)			þrir
firi			firi (0)			for
s			s (0)			DUMMY*
kyrkiu gærd			kyrkiu gærd (0)			kirkio garþer
firi			firi (0)			for
crusszur			crusszur (0)			krussa
klokchor			klokchor (0)			klokka
calka			calka (0)			kalker
messufat			messufat (0)			mässu­fat
þa			þiggia (0.5)			þän
byscuper			byscuper (0)			biskoper
firi			firi (0)			for
tyundæ			tyundæ (0)			tionde
er			vara (0.5)			är
bonder			bonder (0)			bonde
giuæ			giuæ (0)			giva
börn			börn (0)			barn
fermæ			fermæ (0)			färma
taker			taker (0)			taka
at			ägha (0.5)			at
fyrnass			fyrnass (0)			fyrnas
standæ			standæ (0)			standa
stulpær			stulpær (0)			stolpe
sillir			sillir (0)			syl
helt			helt (0)			hel
dyrni			dyrni (0)			dyrne
festiband			festiband (0)			fästeband
haltæræ sten			haltæræ sten (0)			altara sten
haui			haui (0)			hava
kikya			kikya (0)			kirkia
sinæ			sinæ (0)			sin
samu			samu (0)			samber
hana			han (1)			hon
æru			æru (0)			vara
hel			häl (1)			hel
mæssu fat			mæssu fat (0)			mässu­fat
stolen			stolen (0)			stiäla
þet			þet (0)			þän
niþingsværk			niþingsværk (0)			niþingsvärk
þat			þat (0)			þän
niv			niv (0)			nio
marcha			marcha (0)			mark
sak			saker (1)			sak
kyrky			kyrky (0)			kirkia
hæreþe			hæreþe (0)			häraþe
konogge			konogge (0)			konunger
in gangit			in gangit (0)			inganga
at			ägha (0.5)			at
þa			þiggia (0.5)			þa
gialdæ			gialdæ (0)			giälda+ater
skaþa			skaþa (0)			skaþi
til þes er			til þes er (0)			til þäs är
þrer			þrer (0)			þrir
æru			æru (0)			vara
meræ			meræ (0)			mere
at			ägha (0.5)			at
se			sea (0.5)			vara
mere			mär (1)			mere
gör			göra (1)			gör
grauit			grauit (0)			grava
vndir			vndir (0)			undir
syll			syll (0)			syl
þa			þiggia (0.5)			þa
ecki			ecki (0)			äkke
værþæ			værþæ (0)			varþa
spyrs			spyrs (0)			spyria+up
vp			vp (0)			up
scaþi			scaþi (0)			skaþi
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
presti			presti (0)			präster
þrer			þrer (0)			þrir
þagher			þagher (0)			þaghar
hauir			hauir (0)			hava
alt			alt (0)			alder
brender			brender (0)			brinna+up
þa			þiggia (0.5)			þa
þrer			þrer (0)			þrir
markær			markær (0)			mark
wardæ			wardæ (0)			varþa
framlyvsum			framlyvsum (0)			framlius
baklyvsum			baklyvsum (0)			baklius
er			vara (0.5)			är
tænder			tænder (0)			tända
brender			brender (0)			brinna+up
kirkiu			kirkiu (0)			kirkia
scruþer			scruþer (0)			skruþer
framlyvsum			framlyvsum (0)			framlius
gialdi			gialdi (0)			giälda+ater
varþ			varþ (0)			värþ
til þés			til þés (0)			til þäs
þrer			þrer (0)			þrir
mærchær			mærchær (0)			mark
æru			æru (0)			vara
meræ			meræ (0)			mere
at			ägha (0.5)			at
mere			mär (1)			mere
se			sea (0.5)			vara
skil			skilia (0.5)			skilia+a
a			af (0.666667)			a
bondæ			bondæ (0)			bonde
presti			presti (0)			präster
kaller			kalder (1)			kalla
bondi			bondi (0)			bonde
tende			tende (0)			tända
kuaþer			kuaþer (0)			qväþa
byvþer			byvþer (0)			biuþa
firir			firir (0)			for
sik			sighia (0.5)			sik
tylftér éþ			tylftér éþ (0)			tylftar eþer
at			ägha (0.5)			at
tændi			tændi (0)			tända
þa			þiggia (0.5)			þa
er			vara (0.5)			är
hauir			hauir (0)			hava
svoret			svoret (0)			sväria
þa			þiggia (0.5)			þa
bötæ			bötæ (0)			böta
bær			bær (0)			bära
messufat			messufat (0)			mässu­fat
hém			hém (0)			hem
glatass			glatass (0)			glata
þer			þär (0.75)			þän
apter gialdæ			apter gialdæ (0)			atergiälda
þer			þär (0.75)			þän
varu			var (0.5)			vara
værð			værð (0)			värþer
suornum			suornum (0)			sväria
eþe			eþe (0)			eþer
at			ägha (0.5)			at
þer			þär (0.75)			þän
varu			var (0.5)			vara
bætri			bætri (0)			bätre
hængir			hængir (0)			hängia
klocka			klocka (0)			klokka
hovod			hovod (0)			hovuþ
mannæ			mannæ (0)			maþer
sopn			sopn (0)			sokn
firi			firi (0)			for
niv			niv (0)			nio
marchum			marchum (0)			mark
kirkiudroten			kirkiudroten (0)			kirkio droten
iardeghendi			iardeghendi (0)			iorþäghande
bana			bana (0)			bani
falder			falla (1)			falla+niþer
klockæ			klockæ (0)			klokka
nider			nider (0)			niþer
hovoþ			hovoþ (0)			hovuþ
manni			manni (0)			maþer
böti			böti (0)			böta
sopcn			sopcn (0)			sokn
marchum			marchum (0)			mark
þrim			þrim (0)			þrir
banæ			banæ (0)			bani
hovod			hovod (0)			hovuþ
presti			presti (0)			präster
æller			æller (0)			ällar
klocchæræ			klocchæræ (0)			klokkare
varþi			varþi (0)			varþa
sær			sær (0)			sik
brester			brester (0)			brista
klockæ			klockæ (0)			klokka
firi			firi (0)			for
þa			þiggia (0.5)			þa
ér			ér (0)			vara
hvn			hvn (0)			hon
vgild			vgild (0)			ogilder
felli			felli (0)			fälla+nidher
kloccho			kloccho (0)			klokka
bræster			bræster (0)			brista
hvn			hvn (0)			hon
hun			hun (0)			hon
værri			værri (0)			värre
þrer			þrer (0)			þrir
hun			hun (0)			hon
ær			ær (0)			vara
værð			værð (0)			värþer
iki			iki (0)			äkke
mære			mære (0)			mere
þrer			þrer (0)			þrir
hun			hun (0)			hon
se			sea (0.5)			vara
bættri			bættri (0)			bätre
scill			scill (0)			skilia
sopn			sopn (0)			sokn
valdi			valdi (0)			valda
þer			þär (0.75)			þän
æru			æru (0)			vara
værþer			værþer (0)			varþa
marder			marder (0)			maþer
kyrkiugardhi			kyrkiugardhi (0)			kirkio garþer
dræpin			dræpin (0)			dräpa
ællær			ællær (0)			älla
sargheþer			sargheþer (0)			sargha
gialde			gialde (0)			giälda
biscupe			biscupe (0)			biskoper
þrer			þrer (0)			þrir
þa			þiggia (0.5)			þa
eighi			eighi (0)			eigh
tiþir			tiþir (0)			tiþ
uetæ			uetæ (0)			veta
fyr æn			fyr æn (0)			fyr än
hauir			hauir (0)			hava
biscups			biscups (0)			biskoper
hætti			hætti (0)			hätta
uid			uid (0)			viþ
þrim			þrim (0)			þrir
marchum			marchum (0)			mark
biscuper			biscuper (0)			biskoper
sopn			sopn (0)			sokn
mælæ			mælæ (0)			mäla
æn			æn (0)			än
þær			þær (0)			þän
vihit			vihit (0)			DUMMY*
uan			uan (0)			van
værþer			værþer (0)			varþa
lustin			lustin (0)			liusta
kyrkiugarþi			kyrkiugarþi (0)			kirkio garþer
æller			æller (0)			ällar
har			hava (0.5)			har
þa			þiggia (0.5)			þa
mæssu			mæssu (0)			mässa
sæghia			sæghia (0)			sighia
fyr æn			fyr æn (0)			fyr än
hauir			hauir (0)			hava
biscups			biscups (0)			biskoper
ællar			ællar (0)			ällar
lænsprests			lænsprests (0)			läns­präster
biscupi			biscupi (0)			biskoper
æn			æn (0)			än
þer			þär (0.75)			þän
mali			mali (0)			mäla
þæs			þæs (0)			þän
ær			ær (0)			är
friþ			friþ (0)			friþer
bröt			bort (0.5)			bryta
sopnær mæn			sopnær mæn (0)			soknar man
kalla			kalder (1)			kalla
friþ			friþ (0)			friþer
þa			þiggia (0.5)			þa
biscups			biscups (0)			biskoper
lensprester			lensprester (0)			läns­präster
sopnar mannum			sopnar mannum (0)			soknar man
tylptar eþ			tylptar eþ (0)			tylftar eþer
sær			sær (0)			sik
gud			gud (0)			guþ
holl			hald (0.5)			hulder
uatum			uatum (0)			vatter
at			ägha (0.5)			at
fridbrut			fridbrut (0)			friþbrut
giöt			giöt (0)			gör
suat			suat (0)			sva at
biscuper			biscuper (0)			biskoper
a			af (0.666667)			ägha
sak			saker (1)			sak
kirkiu gard			kirkiu gard (0)			kirkio garþer
scipæ			scipæ (0)			skipa
bolæ			bolæ (0)			bol
mælli			mælli (0)			mällom
slict			slict (0)			sliker
a			af (0.666667)			ägha
at			ägha (0.5)			at
gærþe			gærþe (0)			gärþa
annat			annat (0)			annar
liggær			liggær (0)			liggia
kirkiugardær			kirkiugardær (0)			kirkio garþer
alþer			alþer (0)			alder
þet			þet (0)			þän
marcha			marcha (0)			mark
sak			saker (1)			sak
þet			þet (0)			þän
a			af (0.666667)			ägha
biscopér			biscopér (0)			biskoper
þridiunger			þridiunger (0)			þriþiunger
vpen			vpen (0)			opin
þæt			þæt (0)			þän
ér			ér (0)			vara
oræ			oræ (0)			öre
sak			saker (1)			sak
þæt			þæt (0)			þän
a			af (0.666667)			ägha
biscopær			biscopær (0)			biskoper
a			af (0.666667)			ägha
hæræd			hæræd (0)			häraþ
firi			firi (0)			for
balka			balka (0)			balke
han			han (1)			hvar
örtoghor			örtoghor (0)			örtogh
e			eigh (0.333333)			ä
kirkiugarþær			kirkiugarþær (0)			kirkio garþer
varæ			varæ (0)			vara
baþi			baþi (0)			baþe
kristnu			kristnu (0)			kristna
fyrra			fyrra (0)			fyrre
cristna			kristin (1)			kristna
æn			æn (0)			än
huslæ			huslæ (0)			husla
ok			uk (1)			ok
þa			þiggia (0.5)			þa
fyrræ			fyrræ (0)			fyrre
huslæ			huslæ (0)			husla
æn			æn (0)			än
olæ			olæ (0)			ola
kristnu			kristnu (0)			kristna
ællér			ællér (0)			ällar
öleng			oling (1)			öling
ær			ær (0)			vara
forfallalös			forfallalös (0)			forfalla lös
þa			þiggia (0.5)			þa
ær			ær (0)			vara
sæker			sæker (0)			saker
at			ägha (0.5)			at
marchum			marchum (0)			mark
þrim			þrim (0)			þrir
biscup			biscup (0)			biskoper
þrim			þrim (0)			þrir
marchum			marchum (0)			mark
saksöchenden			saksöchenden (0)			saksökiande
prests			prests (0)			präster
æru			æru (0)			vara
æn			æn (0)			än
biscuper			biscuper (0)			biskoper
hauir			hauir (0)			hava
sænt			sænt (0)			sända
ær			ær (0)			vara
bortfarin			bortfarin (0)			bortfara
annur			annur (0)			annar
æn			æn (0)			än
siukær			siukær (0)			siuker
þridiæ			þridiæ (0)			þriþi
æn			æn (0)			än
þighiændæ			þighiændæ (0)			þighia
mæssu			mæssu (0)			mässa
sighir			sighir (0)			sighia
fyardæ			fyardæ (0)			fiärþe
æn			æn (0)			än
ær			ær (0)			vara
farin			farin (0)			fara
siukum			siukum (0)			siuker
at			ägha (0.5)			at
hiælpæ			hiælpæ (0)			hiälpa
vr			vr (0)			ur
mæssufatum			mæssufatum (0)			mässu­fat
ok			uk (1)			ok
sivkum			sivkum (0)			siuker
hialpæ			hialpæ (0)			hiälpa
æn			æn (0)			än
sivngær			sivngær (0)			siunga
æigh			æigh (0)			eigh
þighianda			þighianda (0)			þighia
mæssu			mæssu (0)			mässa
skil			skilia (0.5)			skilia+a
þæm			þæm (0)			þär
a			af (0.666667)			a
ok			uk (1)			ok
kallær			kallær (0)			kalla
bondi			bondi (0)			bonde
forfallalösan			forfallalösan (0)			forfalla lös
þa			þiggia (0.5)			þa
væriæ			væriæ (0)			väria+sik
sik			sighia (0.5)			sik
a mote			a mote (0)			amote
mæder			mæder (0)			mäþ
prestum			prestum (0)			präster
at			ägha (0.5)			at
laghæ forfall			laghæ forfall (0)			lagha forfal
fæk			fæk (0)			fa
bondæ			bondæ (0)			bonde
kono			kono (0)			kona
svn			svn (0)			son
dottor			dottor (0)			dottir
ælstæ			ælstæ (0)			äldre
firi			firi (0)			for
tyunda			tyunda (0)			tionde
æn			æn (0)			än
firi			firi (0)			for
hiona			hiona (0)			hion
er			vara (0.5)			är
giui			giui (0)			giva
ok			uk (1)			ok
firi			firi (0)			for
þa			þiggia (0.5)			þän
mæn			mæn (0)			maþer
tyundæ			tyundæ (0)			tionde
ok			uk (1)			ok
firi			firi (0)			for
lægher. staþ			lægher. staþ (0)			lägherstaþer
allum			allum (0)			alder
frælsum			frælsum (0)			fräls
mannum			mannum (0)			maþer
taca			taca (0)			taka
ok			uk (1)			ok
ortogh			ortogh (0)			örtogh
firi			firi (0)			for
natuaku			natuaku (0)			natvaka
mæra			mæra (0)			mere
þit			þit (0)			þy at
fleræ			fleræ (0)			flere
vaki			vaki (0)			vaka
ok			uk (1)			ok
æller			æller (0)			ällar
bondi			bondi (0)			bonde
þrer			þrer (0)			þrir
nætær			nætær (0)			nat
liggi			liggi (0)			liggia
lik			like (0.5)			lik
inni			inni (0)			inne
lengær			lengær (0)			länge
læta			læta (0)			lata
inni			inni (0)			inne
giui			giui (0)			giva
huaria			huaria (0)			hvar
gæster			gæster (0)			gäster
at			ägha (0.5)			at
taki			taki (0)			taka
fatum			fatum (0)			fat
giui			giui (0)			giva
presti			presti (0)			präster
firi			firi (0)			for
