TOKEN		OUTPUT			CORRECT
herra			härra (1)			härra
och			ok (1)			ok
vinstre			vinstre (0)			vinstre
sin			sin (0.6)			sin
och			ok (1)			ok
han			han (1)			han
aff			af (1)			af
och			ok (1)			ok
huru			huru (0)			huru
honum			han (1)			han
aat			at (0.666667)			at
herra			härra (1)			härra
til			til (0)			til
thera			þän (1)			þän
ther			þär (1)			þär
til			til (0)			til
som			sum (1)			sum
stander			standa (1)			standa
hans			han (1)			han
herra			härra (1)			härra
ther			þär (1)			þär
hit			hit (0)			hit
och			ok (1)			ok
fampn			famn (1)			famn
sin			sin (0.6)			sin
och			ok (1)			ok
herra			härra (1)			härra
fore			for (1)			for
helghe			helagher (1)			helagher
kirkio			kirkia (1)			kirkia
herra			härra (1)			härra
fore			for (1)			for
got			goþer (1)			goþer
sin			sin (0.6)			sin
herra			härra (1)			härra
fore			for (1)			for
och			ok (1)			ok
alla			alder (1)			alder
herra			härra (1)			härra
fore			for (1)			for
som			sum (1)			sum
stander			standa (1)			standa
han			han (1)			han
herra			härra (1)			härra
fore			for (1)			for
som			sum (1)			sum
stander			standa (1)			standa
ey			eigh (1)			eigh
swa			sva (1)			sva
herra			härra (1)			härra
och			ok (1)			ok
ganger			ganga (0.5)			ganga
herra			härra (1)			härra
fran			fran (0)			fran
och			ok (1)			ok
och			ok (1)			ok
han			han (1)			han
och			ok (1)			ok
han			han (1)			han
later			lata (1)			lata
han			han (1)			han
supan			supan (0)			supan
han			han (1)			han
ey			eigh (1)			eigh
han			han (1)			han
later			lata (1)			lata
och			ok (1)			ok
och			ok (1)			ok
thesso			þänne (1)			þänne
han			han (1)			han
swa			sva (1)			sva
aff			af (1)			af
hwario			hvar (1)			hvar
then			þän (1)			þän
ember			ember (0)			ember
som			sum (1)			sum
herra			härra (1)			härra
om			um (1)			um
hans			han (1)			han
och			ok (1)			ok
hoffwdh			hovuþ (1)			hovuþ
och			ok (1)			ok
sannelika			sanlika (1)			sanlika
thenne			þänne (1)			þänne
ember			ember (0)			ember
aff			af (1)			af
herra			härra (1)			härra
och			ok (1)			ok
fore			for (1)			for
swa			sva (1)			sva
thenne			þänne (1)			þänne
fabula			fabula (0)			fabula
her			här (1)			här
laghbok			laghbok (0)			laghbok
i			i (0)			i
warum			var (1)			var
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
barn			barn (0)			barn
til			til (0)			til
oc			ok (1)			ok
scal			skula (1)			skula
faþir			faþir (0)			faþir
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
scal			skula (1)			skula
til			til (0)			til
scal			skula (1)			skula
han			han (1)			han
skal			skula (1)			skula
barn			barn (0)			barn
scal			skula (1)			skula
scal			skula (1)			skula
prester			präster (1)			präster
barn			barn (0)			barn
oc			ok (1)			ok
til			til (0)			til
prester			präster (1)			präster
scal			skula (1)			skula
faþir			faþir (0)			faþir
oc			ok (1)			ok
moþer			moþir (1)			moþir
sculu			skula (1)			skula
sot			sot (0)			sot
oc			ok (1)			ok
ma			magha (1)			magha
igh			eigh (1)			eigh
til			til (0)			til
kyrkiu			kirkia (1)			kirkia
scal			skula (1)			skula
oc			ok (1)			ok
i			i (0)			i
vatn			vatn (0)			vatn
til			til (0)			til
i			i (0)			i
namn			namn (0)			namn
faþurs			faþir (1)			faþir
oc			ok (1)			ok
oc			ok (1)			ok
scal			skula (1)			skula
oc			ok (1)			ok
scal			skula (1)			skula
oc			ok (1)			ok
til			til (0)			til
med			mäþ (1)			mäþ
tolf			tolf (0)			tolf
han			han (1)			han
hin			hin (0)			hin
oc			ok (1)			ok
han			han (1)			han
oc			ok (1)			ok
hans			han (1)			han
maþer			maþer (0)			maþer
i			i (0)			i
kyrkiu			kirkia (1)			kirkia
er			vara (0.5)			vara
kyrkia			kirkia (1)			kirkia
al			alder (1)			alder
er			vara (0.5)			vara
vitrum			vinter (0.5)			vinter
scal			skula (1)			skula
marker			mark (0.5)			mark
vilx			vighsl (1)			vighsl
oc			ok (1)			ok
gengerd			gengärþ (1)			gengärþ
en			än (0.666667)			än
er			vara (0.5)			vara
oc			ok (1)			ok
kyrkiu			kirkia (1)			kirkia
sculu			skula (1)			skula
landbor			landboe (1)			landboe
sculu			skula (1)			skula
eigh			eigh (0)			eigh
en			än (0.666667)			än
uili			vilia (1)			vilia
i			i (0)			i
lös			lös (0)			lös
scal			skula (1)			skula
prester			präster (1)			präster
sinum			sin (0.5)			sin
sculu			skula (1)			skula
bönder			bonde (1)			bonde
marcher			mark (1)			mark
oc			ok (1)			ok
oc			ok (1)			ok
marcher			mark (1)			mark
tolf			tolf (0)			tolf
öra			öre (1)			öre
oc			ok (1)			ok
stapul			stapul (0)			stapul
tolf			tolf (0)			tolf
öra			öre (1)			öre
oc			ok (1)			ok
oc			ok (1)			ok
scal			skula (1)			skula
vighia			vighia (0)			vighia
þen			þän (1)			þän
hanum			han (1)			han
oc			ok (1)			ok
kyrkia			kirkia (1)			kirkia
liggia			liggia (0)			liggia
er			vara (0.5)			vara
oc			ok (1)			ok
ligger			liggia (1)			liggia
kamber			kamber (0)			kamber
hell			hel (1)			hel
oc			ok (1)			ok
altare			altare (0)			altare
vixl			vighsl (1)			vighsl
þo at			þo at (0)			þo at
böte			böta (1)			böta
en			än (0.666667)			än
þessi			þänne (1)			þänne
all			alder (1)			alder
uerdher			varþa (1)			varþa
kyrkia			kirkia (1)			kirkia
brutin			bryta (1)			bryta
oc			ok (1)			ok
er			vara (0.5)			vara
er			vara (0.5)			vara
swa			sva (1)			sva
sva			sva (0)			sva
varþer			varþa (0.5)			varþa
opnom			opin (1)			opin
dorom			dyr (1)			dyr
scal			skula (1)			skula
prester			präster (1)			präster
apter			apter (0)			apter
þen			þän (1)			þän
sum			sum (0)			sum
kyrkia			kirkia (1)			kirkia
fik			fa (1)			fa
marcher			mark (1)			mark
oc			ok (1)			ok
eigh			eigh (0)			eigh
þy			þän (1)			þän
skaþi			skaþi (0)			skaþi
er			vara (0.5)			vara
skal			skula (1)			skula
prester			präster (1)			präster
böta			böta (0)			böta
marcher			mark (1)			mark
kyrkia			kirkia (1)			kirkia
sit			sin (0.333333)			sin
up			up (0)			up
kyrkia			kirkia (1)			kirkia
skal			skula (1)			skula
prester			präster (1)			präster
böta			böta (0)			böta
prester			präster (1)			präster
skal			skula (1)			skula
oc			ok (1)			ok
þen			þän (1)			þän
i			i (0)			i
af			af (0)			af
prester			präster (1)			präster
apter			apter (0)			apter
hvat			hvar (1)			hvar
sum			sum (0)			sum
er			vara (0.5)			vara
eigh			eigh (0)			eigh
þy			þän (1)			þän
skaþi			skaþi (0)			skaþi
gör			göra (1)			göra
þem			þän (1)			þän
oc			ok (1)			ok
prester			präster (1)			präster
oc			ok (1)			ok
bonde			bonde (0)			bonde
ne			ne (0)			ne
vid			viþ (1)			viþ
han			han (1)			han
eigh			eigh (0)			eigh
han			han (1)			han
skal			skula (1)			skula
prester			präster (1)			präster
prester			präster (1)			präster
oc			ok (1)			ok
skal			skula (1)			skula
prester			präster (1)			präster
þem			þän (1)			þän
sum			sum (0)			sum
med			mäþ (1)			mäþ
eigh			eigh (0)			eigh
i			i (0)			i
kyrkiu			kirkia (1)			kirkia
falder			falla (1)			falla
i			i (0)			i
böte			böta (1)			böta
en			än (0.666667)			än
far			fa (0.333333)			fa
rummi			rummi (0)			rummi
i			i (0)			i
en			än (0.666667)			än
han			han (1)			han
far			fa (0.333333)			fa
af			af (0)			af
falder			falla (1)			falla
i			i (0)			i
sialvar			siälver (1)			siälver
þem			þän (1)			þän
en			än (0.666667)			än
annar			annar (0)			annar
maþar			maþer (1)			maþer
niþer			niþer (0)			niþer
viþer			viþ (1)			viþ
er			vara (0.5)			vara
en			än (0.666667)			än
marcher			mark (1)			mark
böte			böta (1)			böta
sum			sum (0)			sum
oc			ok (1)			ok
en			än (0.666667)			än
marcher			mark (1)			mark
þo at			þo at (0)			þo at
sum			sum (0)			sum
flere			flere (0)			flere
i			i (0)			i
marcher			mark (1)			mark
skal			skula (1)			skula
lof			lof (0)			lof
til			til (0)			til
num			num (0)			num
han			han (1)			han
sinum			sin (0.5)			sin
skal			skula (1)			skula
viþ			viþ (0)			viþ
viþer			viþ (1)			viþ
þen			þän (1)			þän
maþer			maþer (0)			maþer
i			i (0)			i
i			i (0)			i
takin			taka (1)			taka
skal			skula (1)			skula
eigh			eigh (0)			eigh
prester			präster (1)			präster
han			han (1)			han
lof			lof (0)			lof
til			til (0)			til
hans			han (1)			han
böte			böta (1)			böta
tolf			tolf (0)			tolf
öra			öre (1)			öre
til			til (0)			til
dylia			dylia (0)			dylia
eigh			eigh (0)			eigh
brutin			bryta (1)			bryta
skal			skula (1)			skula
se			sea (0.5)			sea
af			af (0)			af
biþia			biþia (0)			biþia
sva			sva (0)			sva
oc			ok (1)			ok
sinum			sin (0.5)			sin
þer			þär (0.75)			þär
eigh			eigh (0)			eigh
af			af (0)			af
skal			skula (1)			skula
bol			bol (0)			bol
sum			sum (0)			sum
open			opin (1)			opin
er			vara (0.5)			vara
þriggia			þrir (1)			þrir
ligger			liggia (1)			liggia
siax			siäx (1)			siäx
siþan			siþan (0)			siþan
atta			atta (0)			atta
oc			ok (1)			ok
skal			skula (1)			skula
gilder			gilder (0)			gilder
vinter			vinter (0)			vinter
oc			ok (1)			ok
somar			somar (0)			somar
barn			barn (0)			barn
þorf			þorva (1)			þorva
maþer			maþer (0)			maþer
huls			husl (1)			husl
scal			skula (1)			skula
barn			barn (0)			barn
man			maþer (1)			maþer
þorf			þorva (1)			þorva
maþer			maþer (0)			maþer
oling			oling (0)			oling
annar			annar (0)			annar
husl			husl (0)			husl
skal			skula (1)			skula
man			maþer (1)			maþer
barn			barn (0)			barn
far			fa (0.333333)			fa
eigh			eigh (0)			eigh
maþer			maþer (0)			maþer
eigh			eigh (0)			eigh
husl			husl (0)			husl
prester			präster (1)			präster
han			han (1)			han
viþ			viþ (0)			viþ
oc			ok (1)			ok
vid			viþ (1)			viþ
forfal			forfal (0)			forfal
hanum			han (1)			han
buþ			buþ (0)			buþ
oc			ok (1)			ok
för			fyr (1)			fyr
han			han (1)			han
ligher			liggia (1)			liggia
han			han (1)			han
han			han (1)			han
i			i (0)			i
sokn			sokn (0)			sokn
skal			skula (1)			skula
fara			fara (1)			fara
han			han (1)			han
bonda			bonde (1)			bonde
prest			präster (1)			präster
han			han (1)			han
scal			skula (1)			skula
han			han (1)			han
siax			siäx (1)			siäx
han			han (1)			han
prester			präster (1)			präster
scal			skula (1)			skula
ola			ola (0)			ola
oc			ok (1)			ok
bonda			bonde (1)			bonde
bonda			bonde (1)			bonde
oc			ok (1)			ok
hans			han (1)			han
barn			barn (0)			barn
sin			sin (0.6)			sin
huart			hvar (1)			hvar
olia			olia (0)			olia
scal			skula (1)			skula
öra			öre (1)			öre
tva			tver (1)			tver
sva			sva (0)			sva
alla			alder (1)			alder
eigh			eigh (0)			eigh
sin			sin (0.6)			sin
öri			öre (1)			öre
þem			þän (1)			þän
huls			husl (1)			husl
eigh			eigh (0)			eigh
eigh			eigh (0)			eigh
flera			flera (0)			flera
vaka			vaka (0)			vaka
num			num (0)			num
prester			präster (1)			präster
uili			vilia (1)			vilia
uili			vilia (1)			vilia
oc			ok (1)			ok
þy at			þy at (0)			þy at
vill			vilia (1)			vilia
han			han (1)			han
liggia			liggia (0)			liggia
örtogh			örtogh (0)			örtogh
naat			nat (1)			nat
dör			döia (1)			döia
bonda			bonde (1)			bonde
öris			öre (1)			öre
mun			mon (0.5)			mon
af			af (0)			af
hans			han (1)			han
oc			ok (1)			ok
oc			ok (1)			ok
örtogh			örtogh (0)			örtogh
husla			husla (0)			husla
sum			sum (0)			sum
dör			döia (1)			döia
stafkarl			stafkarl (0)			stafkarl
prester			präster (1)			präster
innan			innan (0)			innan
far			fa (0.333333)			fa
buþ			buþ (0)			buþ
hanum			han (1)			han
ola			ola (0)			ola
han			han (1)			han
han			han (1)			han
ola			ola (0)			ola
ganger			ganga (0.5)			ganga
prester			präster (1)			präster
i			i (0)			i
sokn			sokn (0)			sokn
i			i (0)			i
bok			bok (0)			bok
stol			stol (0)			stol
han			han (1)			han
tolf			tolf (0)			tolf
tolf			tolf (0)			tolf
scal			skula (1)			skula
prester			präster (1)			präster
sva sum			sva sum (0)			sva sum
siþan			siþan (0)			siþan
scal			skula (1)			skula
i			i (0)			i
kiurkia			kirkia (1)			kirkia
prester			präster (1)			präster
allan			alder (1)			alder
til			til (0)			til
bonde			bonde (0)			bonde
dör			döia (1)			döia
i			i (0)			i
sokn			sokn (0)			sokn
skal			skula (1)			skula
prester			präster (1)			präster
hans			han (1)			han
til			til (0)			til
fylghia			fylghia (0)			fylghia
num			num (0)			num
han			han (1)			han
uili			vilia (1)			vilia
skal			skula (1)			skula
han			han (1)			han
prester			präster (1)			präster
vill			vilia (1)			vilia
gipt			gipt (0)			gipt
tvar			tver (1)			tver
örtugh			örtogh (1)			örtogh
maþer			maþer (0)			maþer
bol			bol (0)			bol
i			i (0)			i
aþrum			annar (1)			annar
sar			sa (1)			sa
skal			skula (1)			skula
han			han (1)			han
sum			sum (0)			sum
bol			bol (0)			bol
ligger			liggia (1)			liggia
sar			sa (1)			sa
man			maþer (1)			maþer
enka			enka (0)			enka
til			til (0)			til
skal			skula (1)			skula
hanum			han (1)			han
þykkir			þykkia (1)			þykkia
han			han (1)			han
vill			vilia (1)			vilia
sva			sva (0)			sva
ma			magha (1)			magha
or			ur (1)			ur
til			til (0)			til
i			i (0)			i
skal			skula (1)			skula
oc			ok (1)			ok
ur			ur (0)			ur
þy			þän (1)			þän
ma			magha (1)			magha
man			maþer (1)			maþer
num			num (0)			num
þen			þän (1)			þän
man			maþer (1)			maþer
prester			präster (1)			präster
man			maþer (1)			maþer
skapadhir			skapa (1)			skapa
aff			af (1)			af
oc			ok (1)			ok
hans			han (1)			han
qwinna			qvinna (1)			qvinna
aff			af (1)			af
hans			han (1)			han
swa			sva (1)			sva
som			sum (1)			sum
gamul			gamal (1)			gamal
mz			mäþ (1)			mäþ
aff			af (1)			af
hans			han (1)			han
swnom			son (1)			son
sanctus			sanctus (0)			sanctus
frammeer			fram (1)			fram
aff			af (1)			af
them			þän (1)			þän
honom			han (1)			han
han			han (1)			han
sinom			sin (1)			sin
han			han (1)			han
laa			liggia (1)			liggia
innan			innan (0)			innan
oc			ok (1)			ok
oc			ok (1)			ok
sanctus			sanctus (0)			sanctus
swa			sva (1)			sva
waaro			vara (1)			vara
oc			ok (1)			ok
aff			af (1)			af
paradys			paradis (1)			paradis
son			son (1)			son
oc			ok (1)			ok
han			han (1)			han
litin			litil (1)			litil
oc			ok (1)			ok
aar			ar (1)			ar
waaro			vara (1)			vara
oc			ok (1)			ok
son			son (1)			son
oc			ok (1)			ok
han			han (1)			han
oc			ok (1)			ok
syster			systir (1)			systir
som			sum (1)			sum
gamal			gamal (0)			gamal
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
aar			ar (1)			ar
innan			innan (0)			innan
oc			ok (1)			ok
aldrigh			aldrigh (0)			aldrigh
them			þän (1)			þän
son			son (1)			son
skulde			skula (1)			skula
aff			af (1)			af
thera			þän (1)			þän
som			sum (1)			sum
saman			saman (0)			saman
hion			hion (0)			hion
oc			ok (1)			ok
son			son (1)			son
oc			ok (1)			ok
han			han (1)			han
aar			ar (1)			ar
oc			ok (1)			ok
gamul			gamal (1)			gamal
waaro			vara (1)			vara
oc			ok (1)			ok
thera			þän (1)			þän
son			son (1)			son
syni			son (1)			son
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
thera			þän (1)			þän
systir			systir (1)			systir
innan			innan (0)			innan
aff			af (1)			af
them			þän (1)			þän
han			han (1)			han
til			til (0)			til
oc			ok (1)			ok
til			til (0)			til
oc			ok (1)			ok
aff			af (1)			af
tala			tala (0)			tala
oc			ok (1)			ok
til			til (0)			til
wan			var (1)			var
som			sum (1)			sum
aff			af (1)			af
oc			ok (1)			ok
innan			innan (0)			innan
oc			ok (1)			ok
hans			han (1)			han
hushion			hushion (0)			hushion
som			sum (1)			sum
son			son (1)			son
oc			ok (1)			ok
han			han (1)			han
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
oc			ok (1)			ok
wiis			vis (1)			vis
oc			ok (1)			ok
oc			ok (1)			ok
innan			innan (0)			innan
han			han (1)			han
til			til (0)			til
paradis			paradis (0)			paradis
oc			ok (1)			ok
ther			þär (1)			þär
til			til (0)			til
han			han (1)			han
ther			þär (1)			þär
gamal			gamal (0)			gamal
oc			ok (1)			ok
doo			döia (1)			döia
hans			han (1)			han
gamal			gamal (0)			gamal
oc			ok (1)			ok
oc			ok (1)			ok
enghin			ängin (1)			ängin
man			maþer (1)			maþer
swa			sva (1)			sva
som			sum (1)			sum
oc			ok (1)			ok
som			sum (1)			sum
frammer			fram (1)			fram
ther			þär (1)			þär
hwars			hvar (1)			hvar
thera			þän (1)			þän
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
han			han (1)			han
til			til (0)			til
paradis			paradis (0)			paradis
hans			han (1)			han
doo			döia (1)			döia
oc			ok (1)			ok
man			maþer (1)			maþer
aff			af (1)			af
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
tionde			tionde (0)			tionde
man			maþer (1)			maþer
aff			af (1)			af
han			han (1)			han
skapadhir			skapa (1)			skapa
oc			ok (1)			ok
til			til (0)			til
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
aff			af (1)			af
syni			son (1)			son
oc			ok (1)			ok
mz			mäþ (1)			mäþ
fadhir			faþir (1)			faþir
oc			ok (1)			ok
modhir			moþir (1)			moþir
oc			ok (1)			ok
sinom			sin (1)			sin
aff			af (1)			af
them			þän (1)			þän
alla			alder (1)			alder
oc			ok (1)			ok
oc			ok (1)			ok
thera			þän (1)			þän
aller			alder (1)			alder
innan			innan (0)			innan
aff			af (1)			af
syni			son (1)			son
som			sum (1)			sum
boa			boa (0)			boa
oc			ok (1)			ok
land			land (0)			land
oc			ok (1)			ok
alla			alder (1)			alder
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
land			land (0)			land
oc			ok (1)			ok
oc			ok (1)			ok
aff			af (1)			af
oc			ok (1)			ok
deel			del (1)			del
aff			af (1)			af
som			sum (1)			sum
boa			boa (0)			boa
oc			ok (1)			ok
oc			ok (1)			ok
all			alder (1)			alder
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
aff			af (1)			af
oc			ok (1)			ok
wiis			vis (1)			vis
aff			af (1)			af
aff			af (1)			af
all			alder (1)			alder
aff			af (1)			af
oc			ok (1)			ok
aff			af (1)			af
oc			ok (1)			ok
ther			þär (1)			þär
som			sum (1)			sum
oc			ok (1)			ok
kwnno			kunna (1)			kunna
ey			eigh (1)			eigh
oc			ok (1)			ok
ey			eigh (1)			eigh
swa			sva (1)			sva
til			til (0)			til
skip			skip (0)			skip
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
aldrigh			aldrigh (0)			aldrigh
fram			fram (0)			fram
oc			ok (1)			ok
swa			sva (1)			sva
innan			innan (0)			innan
oc			ok (1)			ok
oc			ok (1)			ok
swa			sva (1)			sva
fram			fram (0)			fram
oc			ok (1)			ok
oc			ok (1)			ok
ty			þän (1)			þän
oc			ok (1)			ok
oc			ok (1)			ok
aff			af (1)			af
syni			son (1)			son
som			sum (1)			sum
boa			boa (0)			boa
oc			ok (1)			ok
byggia			byggia (0)			byggia
oc			ok (1)			ok
aff			af (1)			af
syni			son (1)			son
som			sum (1)			sum
madhir			maþer (1)			maþer
aff			af (1)			af
syni			son (1)			son
oc			ok (1)			ok
som			sum (1)			sum
kom			koma (1)			koma
aff			af (1)			af
sunom			son (1)			son
androm			annar (1)			annar
innan			innan (0)			innan
aff			af (1)			af
syni			son (1)			son
oc			ok (1)			ok
aff			af (1)			af
syni			son (1)			son
oc			ok (1)			ok
sweiar			svear (1)			svear
ey			eigh (1)			eigh
tala			tala (0)			tala
aff			af (1)			af
oc			ok (1)			ok
oc			ok (1)			ok
thera			þän (1)			þän
aff			af (1)			af
oc			ok (1)			ok
hans			han (1)			han
aff			af (1)			af
modhir			moþir (1)			moþir
gamal			gamal (0)			gamal
han			han (1)			han
oc			ok (1)			ok
kom			koma (1)			koma
oc			ok (1)			ok
son			son (1)			son
oc			ok (1)			ok
oc			ok (1)			ok
gamal			gamal (0)			gamal
aar			ar (1)			ar
han			han (1)			han
mz			mäþ (1)			mäþ
sinom			sin (1)			sin
fadhir			faþir (1)			faþir
innan			innan (0)			innan
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
doo			döia (1)			döia
oc			ok (1)			ok
gamal			gamal (0)			gamal
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
het			heta (0.5)			heta
ey			eigh (1)			eigh
aff			af (1)			af
hans			han (1)			han
aff			af (1)			af
kom			koma (1)			koma
innan			innan (0)			innan
hans			han (1)			han
oc			ok (1)			ok
mz			mäþ (1)			mäþ
honom			han (1)			han
han			han (1)			han
ey			eigh (1)			eigh
mz			mäþ (1)			mäþ
them			þän (1)			þän
ther			þär (1)			þär
oc			ok (1)			ok
ty			þän (1)			þän
han			han (1)			han
som			sum (1)			sum
skapadhir			skapa (1)			skapa
mz			mäþ (1)			mäþ
oc			ok (1)			ok
war			var (0.666667)			var
them			þän (1)			þän
som			sum (1)			sum
oc			ok (1)			ok
aff			af (1)			af
honom			han (1)			han
som			sum (1)			sum
han			han (1)			han
ey			eigh (1)			eigh
aff			af (1)			af
honom			han (1)			han
oc			ok (1)			ok
hebrei			hebrei (0)			hebrei
som			sum (1)			sum
tala			tala (0)			tala
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
son			son (1)			son
innan			innan (0)			innan
oc			ok (1)			ok
manna			maþer (1)			maþer
aldra			alder (1)			alder
oc			ok (1)			ok
thera			þän (1)			þän
gamal			gamal (0)			gamal
han			han (1)			han
ey			eigh (1)			eigh
meer			mer (1)			mer
fran			fran (0)			fran
annar			annar (0)			annar
innan			innan (0)			innan
oc			ok (1)			ok
til			til (0)			til
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
minna			minne (1)			minne
oc			ok (1)			ok
innan			innan (0)			innan
tridhi			þriþi (1)			þriþi
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
hans			han (1)			han
brodhir			broþir (1)			broþir
innan			innan (0)			innan
caldei			caldei (0)			caldei
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
ey			eigh (1)			eigh
caldei			caldei (0)			caldei
them			þän (1)			þän
baal			bal (0.666667)			bal
oc			ok (1)			ok
til			til (0)			til
mz			mäþ (1)			mäþ
oc			ok (1)			ok
om			um (1)			um
riker			riker (0)			riker
oc			ok (1)			ok
damascenus			damascenus (0)			damascenus
om			um (1)			um
innan			innan (0)			innan
oc			ok (1)			ok
ma			magha (1)			magha
see			sea (0.5)			sea
ther			þär (1)			þär
hwar			hvar (1)			hvar
hans			han (1)			han
palacium			palacium (0)			palacium
war			var (0.666667)			var
honom			han (1)			han
oc			ok (1)			ok
hans			han (1)			han
circumcisionem			circumcisionem (0)			circumcisionem
til			til (0)			til
eet			en (1)			en
tekn			tekn (0)			tekn
oc			ok (1)			ok
aff			af (1)			af
hans			han (1)			han
aff			af (1)			af
allo			alder (1)			alder
til			til (0)			til
son			son (1)			son
skulde			skula (1)			skula
om			um (1)			um
aff			af (1)			af
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
tre			þrir (1)			þrir
iordha			iorþa (1)			iorþa
ther			þär (1)			þär
aff			af (1)			af
valde			välia (1)			välia
war			var (0.666667)			var
oc			ok (1)			ok
hans			han (1)			han
aff			af (1)			af
skulde			skula (1)			skula
son			son (1)			son
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
innan			innan (0)			innan
kom			koma (1)			koma
som			sum (1)			sum
oc			ok (1)			ok
hans			han (1)			han
sonom			son (1)			son
mz			mäþ (1)			mäþ
thera			þän (1)			þän
oc			ok (1)			ok
til			til (0)			til
ther			þär (1)			þär
them			þän (1)			þän
oc			ok (1)			ok
ther			þär (1)			þär
synir			son (1)			son
til			til (0)			til
oc			ok (1)			ok
man			maþer (1)			maþer
oc			ok (1)			ok
oc			ok (1)			ok
